Star_count,Heading,Review
5,Amazing book!,"This is one of the best books that I've read, and hats off to Susan Cain for this amazing work. The book talks talks about introversion in detail and the various behaviors and tendencies of introverts and what they seek. Susan, herself an introvert, is able to easily put the reader at ease, especially an introverted one. Quiet talks about the role an introvert can play in a world that is increasingly tending to overvalue to extroverted ideals, and this is why the book is extremely relevant. E..."
5,I appreciate silence!,"I loved this book! It's all about introverts in a culture that celebrates extroversion. We have a personality worshiping culture and the new social media has only made it worse. Everyone on Facebook is a performer. Despite 1/3 to 1/2 of the population being introverts, everything in our culture from parenting to school to work to socializing celebrates and rewards extroversion. Some of the most creative and brilliant creators and thinkers in history were introverts. The theme of this work is ..."
3,Quietly making Noise!,"This book found its way to my library through a chance introduction to this book in the authors' TED talk.It suits my temperament to read/write than to speak and this book attempts to explain why is this so.  This the author does it with relevant research studies and examples and is impressive for comprehensiveness if not for thoroughness (of course, one would not expect this in this genre - popularization).It is a great read to all introverts and extroverts.  One thing I noticed was that..."
5,Masterpiece on this subject: Kudos to the author,First of all I would like to salute the author for the kind of research she has done to come up with such a masterpiece. Not only she has provided enough research references to make her point but at the same time she has taken care that the message is being delivered to the readers without writing anything wrong about being extroverts/introverts.. She has handled the subject very beautifully and has explained both temperaments the best way..One thing I want to clarify is that the book is no...
5,reader's review,"this book is no novel let me tell you or is it really engrossing, but as you read you will understand what and how to understand if you are an introvert!if you are an introvert, you are in for surprise, this book has enough point to tingle your senses, you will be at joy reading some pages. beautifully written book :)"
5,Quiet: A Revelation,"The book is a boon to the introverts and extroverts alike, and you can gift it to either or both. For the former to gain confidence, and for the latter to understand the former. The interesting insights backed by solid research are the takeaway lessons one can use in life. Most important lesson I feel is that persistence, concentration, and self-control can be put to good use by the introverts. Then they can act extrovert if they choose, without loss of identity or individuality provided the..."
4,Nice read and really enjoyed understanding myself better,"Despite being an author from foreign the language used was not complex and jargon free. The concepts and points put forward in simple manner. This will really help an introvert understand himself better and also appreciate his / her own strength. I would not only recommend this to be read by introvert but also by the other personality trait person i.e. Extrovert. I really like the various examples provided to support the ideas e.g. Impact of Open office concept, Mr. Little experiment, and als..."
5,A book which makes introverts feel less alone...,"QUIET is a must read for anyone who wonders why the world doesn't listen to them, though what they say generally ends up being right!Introverts are more conflicted than extroverts; the former feeling many a times that something is fundamentally wrong with their attitude. QUIET helps introverts understand they are not alone; in fact, if anything, they are more gifted at solving problems and being creative. She goes on to point out how many famous & successful personalities (Steve Wozniak, Gu..."
5,Best in the market!,Quiet has really been an eye opener for me. I have never felt so proud of being an introvert until I read this book. It's truly been a great read.
5,Amazing book!!!!,Excellent work by Susan Cain.This book very well explains that introverts are no less than extroverts.The author has proved each and every quality of introverts by taking suitable examples.
4,Recommended but font size could be bigger.,This is a great book not only Quiet nature people but for all...One star less to publisher for tiny fonts. Or I was wondering if Auther asked for small fonts to focus more on contents!!Overall very good book. Flupkart delivery was on time.
4,"A must for every introvert, a special recommendation to fake extroverts","Hey! are u an introvert struggling to fit in this highly extrovertness demanding society?Don't worry, firstly the some of the extroverts around you may actually be introverts as one out every three persons is an introvert.This book provides a confidence boost to people like me out there.It will surely make you appreciate yourself the way you are.And if you can appreciate yourself only then can you expect it from others.So definitely, this is a must read for all the high-reactives(P.S. rea..."
5,I Love Susan Cain,"Now unfortunately Susan is quite elder to me (merely 27 years old) and happily married. Psst! BANG! I love her because I am a 19 year old and she has helped me to realize who I am, just like millions of us, the introverts.Okay, now for the sake of being unbiased as this is a review, let's talk business. Quiet is a non-fiction book focusing on how the mankind inadvertently (or maybe advertently) discriminates the introverts. Susan has carefully researched introversion and extroversion, touri..."
5,Give insight of yourself!,"Written in perfect way. Examples which have been included are perfectly resemble with the topic.Some of you will start looking at people with new eyes, if you thoroughly understand the book. Do not expect so much interesting, but nicely written so you will not be bored.And obviously get it at your doorstep with flipkart delivery( discount is certain:P)."
5,Excellent Read,"It helped me understand I am an ambivert. I admit I too was biased in favour of extroverts but after reading this book, I respect introverts and extroverts alike, amusingly the balance now mildly shifted towards introverts :-) Yes, this is what this book can do to you- change the way you think :-)"
4,A great book for introverts,"There are not many books that shine the light upon the hidden world of introverts. You might have read stories or met people who are introverted but not many people have appreciated them outright. Susan Cain's book is such a book. Even if you are extrovert, you would know many introverts and this book would help you appreciate their nature and understand it well. Just for reference, before buying this book, people can see her TED talk on this to get the gist. Overall, it is a great book."
4,Helps to realize the power of being Quiet!,"On reading this book I did not find whether it favors Introverts or criticizes the Extroverts. It basically talks about the strength of the quite character which is generally misunderstood or side lined by the dominant extrovert characters in the society. Through various examples, especially the first one, it compels the reader to understand the power of the quite person through few but very strong words of expression. For me this book is more accurate one to use my quietness in a more approp..."
5,Deserves to be widely read !!!,"Well researched and lucidly written,this book might be the best book ever written on the concept of Introversion.It helps us understand ourselves and the people in our life much better.Filled with wonderful insights,it reassures introverts about their beliefs and behavioral patterns and acts as an eyeopener for the less observant class of the society.The book also offers some valuable advice whenever needed.Despite being on a serious topic,the book is an absolute page-turner and will be a che..."
5,One of the best in ma collection,This book is so interesting that I completed it in just 2 days....A perfect buk 4 nd about introverts...I can say tis s one of the best in ma collection...;)
5,This is therapy for introverts. Highly recommended.,"This is therapy. This is a celebration of introvertism. This is all those things that you feel and know inside your head as an introvert put into an appreciative context.It's apparent that a lot of research has gone into this, and Susan has dug deep to find relevant studies in the field. There's a healthy sprinkling of anecdotes as well, which I think would resonate with every introvert who's reading this.The comparison between the Western focus on the individual, and the Eastern focus on..."
5,Brilliant book...insightful...well researched...with strategies!,to start with...delivery experience was outstanding.The book itself takes a very novel approach. Most books on introvert-extroverts...look at personality characteristics and their manifestations...and somehow the agenda is to fix one of the two. Usually introversion is treated as a disease and extroversion as 'healthy' personality.Susan starts with countering these presumptions....and takes a different tack by going deep to understand what is happening in the minds and why. Instead of clump...
5,Transforms Introverts,"There is nothing wrong being quiet,shy or introverted.But there are distinctive advantages to being this way and the book affirms this.The best part of ""Quiet"" is that the insights drew from the studies can help introverts take advantage of their special traits and thrive on their own terms in an extroverted world"
