Heading,Review,Star_count
amazing book,one best books read hats susan cain amazing work book talks talks introversion detail various behaviors tendencies introverts seek susan introvert able easily put reader ease especially introverted one quiet talks role introvert play world increasingly tending overvalue extroverted ideals book extremely relevant e,5
appreciate silence,loved book introverts culture celebrates extroversion personality worshiping culture new social media made worse everyone facebook performer despite population introverts everything culture parenting school work socializing celebrates rewards extroversion creative brilliant creators thinkers history introverts theme work,5
quietly making noise,book found way library chance introduction book authors ted talkit suits temperament readwrite speak book attempts explain author relevant research studies examples impressive comprehensiveness not thoroughness course one would not expect genre popularizationit great read introverts extroverts one thing noticed,3
masterpiece subject kudos author,first would like salute author kind research done come masterpiece not provided enough research references make point time taken care message delivered readers without writing anything wrong extrovertsintroverts handled subject beautifully explained temperaments best wayone thing want clarify book no,5
readers review,book no novel let tell really engrossing read understand understand introvertif introvert surprise book enough point tingle senses joy reading pages beautifully written book,5
quiet revelation,book boon introverts extroverts alike gift either former gain confidence latter understand former interesting insights backed solid research takeaway lessons one use life important lesson feel persistence concentration selfcontrol put good use introverts act extrovert choose without loss identity individuality provided,5
nice read really enjoyed understanding better,despite author foreign language used not complex jargon free concepts points put forward simple manner really help introvert understand better also appreciate strength would not recommend read introvert also personality trait person ie extrovert really like various examples provided support ideas eg impact open office concept mr little experiment als,4
book makes introverts feel less alone,quiet must read anyone wonders world not listen though say generally ends rightintroverts conflicted extroverts former feeling many times something fundamentally wrong attitude quiet helps introverts understand not alone fact anything gifted solving problems creative goes point many famous successful personalities steve wozniak gu,5
best market,quiet really eye opener never felt proud introvert read book truly great read,5
amazing book,excellent work susan cainthis book well explains introverts no less extrovertsthe author proved every quality introverts taking suitable examples,5
recommended font size could bigger,great book not quiet nature people allone star less publisher tiny fonts wondering auther asked small fonts focus contentsoverall good book flupkart delivery time,4
must every introvert special recommendation fake extroverts,hey u introvert struggling fit highly extrovertness demanding societydo not worry firstly extroverts around may actually introverts one every three persons introvertthis book provides confidence boost people like thereit surely make appreciate way areand appreciate expect othersso definitely must read highreactivesps rea,4
love susan cain,unfortunately susan quite elder merely years old happily married psst bang love year old helped realize like millions us introvertsokay sake unbiased review let us talk business quiet nonfiction book focusing mankind inadvertently maybe advertently discriminates introverts susan carefully researched introversion extroversion touri,5
give insight,written perfect way examples included perfectly resemble topicsome start looking people new eyes thoroughly understand book not expect much interesting nicely written not boredand obviously get doorstep flipkart delivery discount certainp,5
excellent read,helped understand ambivert admit biased favour extroverts reading book respect introverts extroverts alike amusingly balance mildly shifted towards introverts yes book change way think,5
great book introverts,not many books shine light upon hidden world introverts might read stories met people introverted not many people appreciated outright susan cains book book even extrovert would know many introverts book would help appreciate nature understand well reference buying book people see ted talk get gist overall great book,4
helps realize power quiet,reading book not find whether favors introverts criticizes extroverts basically talks strength quite character generally misunderstood side lined dominant extrovert characters society various examples especially first one compels reader understand power quite person strong words expression book accurate one use quietness approp,4
deserves widely read,well researched lucidly writtenthis book might best book ever written concept introversionit helps us understand people life much betterfilled wonderful insightsit reassures introverts beliefs behavioral patterns acts eyeopener less observant class societythe book also offers valuable advice whenever neededdespite serious topicthe book absolute pageturner che,5
one best collection,book interesting completed daysa perfect buk nd introvertsi say tis one best collection,5
therapy introverts highly recommended,therapy celebration introvertism things feel know inside head introvert put appreciative contextit apparent lot research gone susan dug deep find relevant studies field healthy sprinkling anecdotes well think would resonate every introvert reading thisthe comparison western focus individual eastern focus,5
brilliant bookinsightfulwell researchedwith strategies,start withdelivery experience outstandingthe book takes novel approach books introvertextrovertslook personality characteristics manifestationsand somehow agenda fix one two usually introversion treated disease extroversion healthy personalitysusan starts countering presumptionsand takes different tack going deep understand happening minds instead clump,5
transforms introverts,nothing wrong quietshy introvertedbut distinctive advantages way book affirms thisthe best part quiet insights drew studies help introverts take advantage special traits thrive terms extroverted world,5
precious gem,book aesthetic appeal moment looked cover never disappointed thoroughly researched succinctly put attitudes behaviours introverts visavis extroverts world prefers personality character nicely woven words beautiful anecdotesit helps explore much clarity regarding something dohugely enriching educating recommended people either verts know oth,4
mustread,best nonfiction book ever read read many many books provide insight human behavior even though really good one tops list result years dedicated efforts research upon subject susan done amazing job book sure enlighten perspective every reader make huge impact upon readers behavior understanding people helps greatly every person famil,5
quiet soft power sovereign,quiet book one cannot afford not read undoubtedly say one read beautifully written book must got enlightened glory quiet theme book great example quiet strength introverts bestowed heres clear example lines said mahatma gandhi gentle way shake world,5
insightful recommended read,no ordinary book definitely not selfhelp book susans insights heartfelt presented beautifully nonjudgmental crisp way along lot research details thrown definitely challenges supposedly common theme quiet one overlooked world increasingly focusing loudness fresh perspective highly recommended,5
paradigm changing book,great book book along habits highly effective people helped great deal like habits highly book emphasizes character ethic adaptation personality read first half book still book changed way looked world todays world extroverts may appear highly successful introverts continue instead adopting traits extroverted people introverts discover,5
wonderful gift introverts,book surely raise morale introverts struggling find place overly extroverted world almost hundred percent introvert found encouraging time introverts struggle personality order become extroverted least act extroverted not realize struggling natural self trying hard become something not realize,5
wonderful book lowest quality paper smallest font available,book book quality took around years author write wonderful book would take glance hate not written inside worst quality paper small fontsat first publisherpenguin india charging rupees may make think quite less earlier publishercrown publishing group used charge believe soon get book hand get know w,5
fair,paper quality bit poor,3
excellent book,not read better book quiet explores humane minds introvert people youre introvert understand numerous difficulties faced far life learn overcome future extrovert see introverts new light empathy,5
must read,nonfiction reader tell book awesome introverts people sad confused introvert read book huge number experiments social experiments logical explanations actually make book really special,4
significant book personality,book talk reading moments say hey yes especially introverts give book miss give one best reading experiences miss,5
cool,interesting book book also light price simply say amazing want read go,5
awesome book,bought book seeing susan cain ted videothis fabulous book recently come idea people also fall two energy types mental physical us like sit think end called lazy people lots physical energy hyperactive forced take medication imagine might happen differences also embraced,5
best book understand introversion,quiet amazing bookthoroughly researchedit make us perceive people differentlyit something offer strata societyevery person find friends bookamazing book,5
slightly disappointed,ordered nspretail book not original paper quality print bad,2
valueformoney,ok,4
nice,book cover black marks,3
delightful,no doubt content book notchbut flipkart must focus package product,4
nice,pages bad,3
perfect product,nothing read book,5
excellent,like reading,5
best market,packaging awsome well boom,5
waste money,book came bad condition felt devastated received really really disappointing,1
fair,letters small read,3
awesome,good,5
perfect product,super book,5
valueformoney,sooooper,4
simply awesome,good book must read,5
fair,book not give much scientific knowledge many things written american context,3
really nice,lovely book,4
simply awesome,must read every introvert book going change life view,5
valueformoney,nice book,4
job,good book introverts start see new light,3
perfect product,impressed delivery service flipkart thank much,5
mindblowing purchase,nice,5
best market,good book,1
super,super,5
excellent,introvert say shaped thoughts new wayawesome book,5
really nice,informative read font book small,4
nice,quite helpful introverts,3
highly recommend,book not introverts rediscover everybody discover variety wonderful humans called introverts,5
pretty good,must read introverts,4
worth every penny,amazing bookworth reading,5
